,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_29.0,C_29.5,C_30.0,C_30.5,C_31.0,P_-1000000.0,P_29.5,P_30.0,P_30.5,P_31.0
21,T,Bull Call Spread,-7.74,93.0,57.0,93.0,49.52,50.46,-0.0832258064516129,26.999999999999996,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,T,Bull Call Spread,-14.35,163.0,901.5063579144398,163.0,33.37,66.6,-0.08803680981595091,78.99999999999999,23.0,-3.0,2.0000000000000004,0.0,0.0,0.0,0.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0
67,T,Bull Call Spread,-16.98,158.0,142.0,158.0,49.52,50.46,-0.10746835443037975,55.99999999999999,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
65,T,Bull Call Spread,-8.49,79.0,71.0,79.0,49.52,50.46,-0.10746835443037975,27.999999999999996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
56,T,Bull Call Spread,-13.74,118.0,82.0,118.0,49.52,50.46,-0.11644067796610169,38.0,-2.0000000000000018,0.0,0.0,2.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
53,T,Bull Call Spread,-6.87,59.0,41.0,59.0,49.52,50.46,-0.11644067796610169,19.0,-1.0000000000000009,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,T,Bull Call Spread,-9.5,70.0,30.0,70.0,49.52,50.46,-0.1357142857142857,16.999999999999993,-3.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,T,Bull Call Spread,-19.01,140.0,60.0,140.0,49.52,50.46,-0.1357857142857143,33.999999999999986,-6.0,0.0,0.0,2.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,T,Bull Call Spread,-13.71,100.0,100.0,100.0,49.52,50.46,-0.1371,38.0,2.0000000000000018,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
89,T,Bull Call Spread,-6.86,50.0,50.0,50.0,49.52,50.46,-0.13720000000000002,19.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
75,T,Bull Call Spread,-5.23,30.0,20.0,30.0,49.52,50.46,-0.17433333333333334,10.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,T,Bull Call Spread,-15.7,90.0,60.0,90.0,49.52,50.46,-0.17444444444444443,30.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
78,T,Bull Call Spread,-10.47,60.0,40.0,60.0,49.52,50.46,-0.17450000000000002,20.000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,T,Bull Call Spread,-15.74,82.00000000000003,17.99999999999997,82.00000000000003,66.24,33.74,-0.19195121951219507,15.999999999999993,-3.9999999999999982,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,T,Bull Call Spread,-7.87,41.000000000000014,8.999999999999986,41.000000000000014,66.24,33.74,-0.19195121951219507,7.9999999999999964,-1.9999999999999991,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,T,Bull Call Spread,-16.86,72.00000000000003,77.99999999999997,72.00000000000003,33.37,66.6,-0.23416666666666658,27.0,3.0000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0
103,T,Bull Call Spread,-11.24,48.0,52.0,48.0,33.37,66.6,-0.23416666666666666,17.999999999999993,2.0000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0
100,T,Bull Call Spread,-5.62,24.0,26.0,24.0,33.37,66.6,-0.23416666666666666,8.999999999999996,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
45,T,Bull Call Spread,-17.26,72.0,28.0,72.0,49.52,50.46,-0.23972222222222225,17.999999999999993,-2.0000000000000018,0.0,0.0,2.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,T,Bull Call Spread,-8.63,36.0,14.0,36.0,49.52,50.46,-0.23972222222222225,8.999999999999996,-1.0000000000000009,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,T,Bear Call Spread,31.65,177.0,3031.0254316577593,187.44770304812843,20.2,79.77,0.1688470943379533,127.00000000000003,71.0,-12.0,8.0,0.0,0.0,0.0,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0
141,T,Bear Call Spread,22.9,129.0,2264.5190737433195,139.44770304812843,20.2,79.77,0.16421927001620373,93.00000000000001,53.0,-9.0,6.0,0.0,0.0,0.0,0.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0
140,T,Bear Call Spread,14.14,81.0,1498.0127158288797,91.44770304812843,20.2,79.77,0.1546238946270547,59.00000000000001,35.0,-6.0,3.9999999999999996,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0
147,T,Bear Call Spread,19.52,114.0,2229.5190737433195,134.89540609625686,20.2,79.77,0.14470470540761912,84.00000000000001,51.99999999999999,-9.0,6.000000000000001,0.0,0.0,0.0,0.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0
128,T,Bear Call Spread,29.89,154.0,3004.0254316577593,214.44770304812843,20.2,79.77,0.139381301712016,117.00000000000001,71.0,-12.0,8.0,0.0,0.0,0.0,-1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
97,T,Bear Call Spread,31.52,125.00000000000001,2983.0254316577593,235.44770304812846,20.2,79.77,0.13387261626229124,108.0,72.0,-12.0,8.0,-1.0,0.0,-1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
50,T,Bear Call Spread,32.4,91.0,2967.0254316577593,251.44770304812843,20.2,79.77,0.12885383166056788,100.00000000000003,73.99999999999999,-12.0,8.0,-1.0,-1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
127,T,Bear Call Spread,21.13,106.0,2237.5190737433195,166.44770304812843,20.2,79.77,0.12694678035833423,83.0,53.0,-9.0,6.0,0.0,0.0,0.0,-1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
146,T,Bear Call Spread,10.76,66.0,1463.0127158288797,86.89540609625686,20.2,79.77,0.12382702933778568,50.000000000000014,34.0,-6.0,4.0,0.0,0.0,0.0,0.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0
139,T,Bear Call Spread,5.38,33.0,731.5063579144398,43.44770304812843,20.2,79.77,0.12382702933778568,25.000000000000007,17.0,-3.0,2.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0
96,T,Bear Call Spread,22.77,77.00000000000001,2216.5190737433195,187.44770304812846,20.2,79.77,0.12147388113981662,74.00000000000001,54.0,-9.0,6.0,-1.0,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
49,T,Bear Call Spread,23.64,43.0,2200.5190737433195,203.44770304812843,20.2,79.77,0.11619693732500692,66.00000000000001,55.99999999999999,-9.0,6.0,-1.0,-1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
126,T,Bear Call Spread,12.38,58.0,1471.0127158288797,118.44770304812843,20.2,79.77,0.10451870050168621,49.0,35.0,-6.0,3.9999999999999996,0.0,0.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
114,T,Bear Call Spread,26.78,249.0,3159.0254316577593,257.2091878074863,33.37,66.6,0.10411758704375702,162.0,76.0,-12.0,8.0,0.0,0.0,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
