,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_95.0,C_96.0,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,C_100.0,C_101.0,P_95.0,P_96.0,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,P_100.0,P_101.0
0,NKE,Long Put Butterfly,11.75,444.00000000000017,4861.071003738351,444.00000000000017,33.62,66.36,0.026463963963963954,-84.00000000000001,15.000000000000002,-15.000000000000002,10.999999999999998,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NKE,Long Put Butterfly,3.06,342.0,2535.5355018691753,342.0,50.32,49.66,0.008947368421052631,-57.99999999999999,8.000000000000002,-6.999999999999998,4.999999999999999,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1,NKE,Long Put Butterfly,0.73,294.0,2483.5355018691753,294.0,50.32,49.66,0.0024829931972789117,-49.999999999999986,8.000000000000002,-6.999999999999998,4.999999999999999,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
72,NKE,Short Call Butterfly,84.01,334.0,4917.071003738349,386.8665525332002,33.49,66.49,0.21715498393413168,84.0,15.000000000000002,-18.000000000000004,14.000000000000002,5.0,0.0,-1.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,NKE,Short Call Butterfly,87.06,355.0,4946.071003738349,407.8665525332002,33.49,66.49,0.21345216826259208,87.0,15.000000000000002,-18.000000000000004,14.000000000000002,5.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,NKE,Short Call Butterfly,39.97,139.0,2436.5355018691744,198.73310506640246,33.49,66.49,0.20112401497800214,39.0,8.000000000000002,-9.000000000000002,7.000000000000001,2.9999999999999996,0.0,-1.0,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,NKE,Short Call Butterfly,78.51,398.0,4953.071003738349,398.0,33.49,66.49,0.19726130653266333,90.0,15.000000000000002,-18.000000000000004,14.000000000000002,5.0,0.0,0.0,-1.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,NKE,Short Call Butterfly,82.64,268.99999999999994,4882.071003738349,421.86655253320015,33.49,66.49,0.1958913298619387,79.0,15.000000000000002,-18.000000000000004,15.000000000000002,5.0,-1.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,NKE,Short Call Butterfly,83.81,375.0,4976.071003738349,427.8665525332002,33.49,66.49,0.195878830686343,90.99999999999999,15.000000000000002,-18.000000000000004,14.000000000000002,5.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,NKE,Short Call Butterfly,81.56,419.0,4982.071003738349,419.0,33.49,66.49,0.19465393794749403,93.0,15.000000000000002,-18.000000000000004,14.000000000000002,5.0,0.0,0.0,-1.0,0.0,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,NKE,Short Call Butterfly,85.69,289.99999999999994,4911.071003738349,442.86655253320015,33.49,66.49,0.19348943719017056,82.0,15.000000000000002,-18.000000000000004,15.000000000000002,5.0,-1.0,0.0,0.0,0.0,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,NKE,Short Call Butterfly,63.67,348.0,4853.071003738349,348.0,33.49,66.49,0.18295977011494252,76.0,15.000000000000002,-19.0,14.000000000000002,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,NKE,Short Call Butterfly,83.31,409.0,5042.071003738349,461.8665525332002,33.49,66.49,0.18037677667514462,96.99999999999997,16.000000000000004,-19.0,14.000000000000002,5.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,NKE,Short Call Butterfly,78.31,439.0,5012.071003738349,439.0,33.49,66.49,0.17838268792710707,96.99999999999999,15.000000000000002,-18.000000000000004,14.000000000000002,5.0,0.0,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,NKE,Short Call Butterfly,82.44,309.99999999999994,4941.071003738349,462.86655253320015,33.49,66.49,0.17810749026651002,86.0,15.000000000000002,-18.000000000000004,15.000000000000002,5.0,-1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,NKE,Short Call Butterfly,70.23,331.0,4870.071003738349,395.5996575996037,33.49,66.49,0.17752795951881623,77.00000000000001,15.000000000000002,-18.000000000000004,14.000000000000002,0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
