,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0
214,SWK,Bear Call Ladder,59.12,220.00000000000006,5413.945627935992,620.0,19.72,80.23,0.09535483870967741,27.000000000000007,3.0,-17.0,10.0,1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,SWK,Bear Call Ladder,43.59,230.0,5303.945627935992,461.0497698913679,19.72,80.23,0.09454510737587102,24.000000000000004,3.0,-15.0,9.000000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,SWK,Bear Call Ladder,39.27,320.0,5413.945627935992,420.0,19.72,80.23,0.09350000000000001,30.0,3.0,-17.0,10.0,2.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,SWK,Bear Call Ladder,39.27,320.0,5413.945627935992,420.0,19.72,80.23,0.09350000000000001,30.00000000000001,3.0,-17.0,10.0,1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,SWK,Bear Call Ladder,39.27,320.0,5413.945627935992,420.0,19.72,80.23,0.09350000000000001,30.0,3.0,-17.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,SWK,Bear Call Ladder,57.89,-10.0,5043.945627935992,621.0497698913679,71.37,28.58,0.09321314137210926,9.000000000000002,3.0,-15.0,10.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,SWK,Bear Call Ladder,63.38,-19.999999999999943,5153.945627935992,680.0,54.41,45.54,0.09320588235294118,12.0,3.0,-17.0,10.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,SWK,Bear Call Ladder,41.68,350.00000000000006,5483.945627935992,450.00000000000006,32.4,67.56,0.0926222222222222,33.0,3.0,-17.0,9.000000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,SWK,Bear Call Ladder,60.3,20.0,5113.945627935992,651.0497698913679,19.72,80.23,0.09261964720463915,12.000000000000005,3.0,-15.0,10.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,SWK,Bear Call Ladder,44.09,380.00000000000006,5553.945627935992,480.00000000000006,32.4,67.56,0.09185416666666667,36.00000000000001,3.0,-17.0,9.000000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
