,C_1000000.0,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,C_34.0,C_35.0,C_35.5,C_36.0,Cost of Strategy,Exp_Pnl/Max_Loss,Expected PnL,Max_Loss,Max_Profit,Name,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5,Prob of Loss,Prob of Profit,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Underlying
108,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,840.0,0.02171669566039655,20.16,928.3180238494845,8246.084906280412,Bull Put Ladder,,,,,,,,,,,,,,3.0,0.0,5.0,-2.0,0.0,0.0,65.37,34.58,-287.0,71.0,-6.0,-30.000000000000004,20.0,TAP
284,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1320.0,0.021559278859864448,29.4,1363.6819761505162,9922.099057327147,Bull Put Ladder,,,,,,,,,,,,,,0.0,0.0,4.0,4.0,0.0,-1.0,65.37,34.58,-422.0,84.99999999999999,-7.000000000000001,-34.0,18.000000000000004,TAP
247,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,535.0,0.021240641711229948,19.86,935.0,6845.070755233677,Bull Put Ladder,,,,,,,,,,,,,,0.0,5.0,2.0,0.0,0.0,-2.0,65.37,34.58,-238.00000000000003,70.0,-5.0,-23.0,17.0,TAP
211,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1475.0,0.021094502958331245,33.95,1609.4240317993126,12579.12735942062,Bull Put Ladder,,,,,,,,,,,,,,0.0,5.0,5.0,0.0,-1.0,0.0,65.37,34.58,-485.99999999999994,110.99999999999999,-9.000000000000002,-44.0,27.999999999999996,TAP
264,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,995.0,0.020747447722032266,21.55,1038.6819761505162,8391.08490628041,Bull Put Ladder,,,,,,,,,,,,,,0.0,4.0,0.0,3.0,0.0,-1.0,65.37,34.58,-330.0,74.0,-6.000000000000001,-29.000000000000004,16.0,TAP
164,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,665.0,0.020456167929255562,15.41,753.3180238494845,5609.056604186942,Bull Put Ladder,,,,,,,,,,,,,,0.0,1.0,5.0,-2.0,0.0,0.0,65.37,34.58,-218.99999999999994,50.0,-4.000000000000001,-20.0,13.999999999999998,TAP
56,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,825.0,0.020218956849224545,18.86,932.7879841003437,9467.099057327148,Bull Put Ladder,,,,,,,,,,,,,,4.0,5.0,0.0,-2.0,0.0,0.0,65.37,34.58,-292.0,82.0,-6.999999999999999,-35.0,23.0,TAP
285,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1545.0,0.01995994193679686,31.71,1588.6819761505162,11353.113208373883,Bull Put Ladder,,,,,,,,,,,,,,0.0,0.0,4.0,5.0,0.0,-1.0,65.37,34.58,-486.00000000000006,96.0,-8.0,-39.0,20.0,TAP
146,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,740.0,0.019719617634122017,22.25,1128.3180238494845,9502.099057327148,Bull Put Ladder,,,,,,,,,,,,,,4.0,0.0,5.0,0.0,0.0,-2.0,65.37,34.58,-315.0,90.0,-6.999999999999999,-33.0,23.0,TAP
79,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,450.0,0.019651503387744917,12.85,653.8939920501718,6680.070755233677,Bull Put Ladder,,,,,,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-1.0,65.37,34.58,-194.00000000000003,60.999999999999986,-5.0,-24.000000000000004,16.0,TAP
