,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_34.0,C_35.0,C_35.5,C_36.0,C_1000000.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5
8,TAP,Long Strangle,119.06,1600.0,6430.070755233677,996.1060079498282,54.36,45.6,0.11952543107841271,-55.0,108.0,-45.0,27.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0,TAP,Long Strangle,62.15,815.0,3853.042453140206,522.7879841003437,54.36,45.6,0.11888184482080781,-36.0,60.0,-25.0,15.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6,TAP,Long Strangle,65.56,885.0,3879.042453140204,556.7879841003423,52.18,47.78,0.11774679388229221,61.99999999999997,60.0,-25.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
7,TAP,Long Strangle,92.69,1245.0,5179.0566041869415,791.1060079498282,54.36,45.6,0.11716508163072677,-56.00000000000003,84.0,-35.0,21.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2,TAP,Long Strangle,99.31,1300.0,6480.070755233677,861.6819761505155,54.36,45.6,0.11525133720872083,-80.00000000000003,96.0,-40.0,24.0,-2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
9,TAP,Long Strangle,104.75,1415.0,6525.070755233674,922.6819761505135,52.18,47.78,0.11352774055154248,123.0,96.0,-40.0,24.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,TAP,Long Strangle,66.31,890.0,3928.042453140206,586.1060079498282,54.36,45.6,0.1131365300825858,-57.0,60.0,-25.0,15.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
4,TAP,Long Strangle,112.76,1495.0,6445.070755233674,1038.5759682006847,52.18,47.78,0.10857174000988565,92.0,108.0,-45.0,27.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
3,TAP,Long Strangle,87.77,1165.0,5187.056604186939,822.6819761505135,52.18,47.78,0.10668764181596956,84.0,84.0,-35.0,21.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
24,TAP,Long Strangle,66.81,735.0,3579.042453140204,627.2120158996563,54.36,45.6,0.10651900522691599,-5.0,61.0,-25.0,13.0,-2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1,TAP,Long Strangle,62.78,835.0,3929.042453140204,606.7879841003423,52.18,47.78,0.10346282662976777,75.99999999999997,60.0,-25.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
